Frame,GT_0.25_R1,GT_0.25_R2,GT_0.25_R3,GT_0.25_R4,GT_0.25_R5,GT_0.50_R1,GT_0.50_R2,GT_0.50_R3,GT_0.50_R4,GT_0.50_R5,GT_0.75_R1,GT_0.75_R2,GT_0.75_R3,GT_0.75_R4,GT_0.75_R5,GT_1.00_R1,GT_1.00_R2,GT_1.00_R3,GT_1.00_R4,GT_1.00_R5,GT_1.25_R1,GT_1.25_R2,GT_1.25_R3,GT_1.25_R4,GT_1.25_R5,Ours_0.25_R1,Ours_0.25_R2,Ours_0.25_R3,Ours_0.25_R4,Ours_0.25_R5,Ours_0.50_R1,Ours_0.50_R2,Ours_0.50_R3,Ours_0.50_R4,Ours_0.50_R5,Ours_0.75_R1,Ours_0.75_R2,Ours_0.75_R3,Ours_0.75_R4,Ours_0.75_R5,Ours_1.00_R1,Ours_1.00_R2,Ours_1.00_R3,Ours_1.00_R4,Ours_1.00_R5,Ours_1.25_R1,Ours_1.25_R2,Ours_1.25_R3,Ours_1.25_R4,Ours_1.25_R5
10,398.99594,608.9266,781.6381,866.7599,766.75885,797.8157,1217.7448,1562.8843,1734.9711,1532.9397,1196.3544,1826.6274,2343.8508,2604.631,2298.611,1594.7413,2435.4502,3124.4727,3475.8108,3063.7527,1992.8121,3044.2166,3904.7273,4348.3228,3828.1968,1589.3430495665973,1618.5472088870094,1267.9745462480478,1808.0124847231054,1699.9674057397535,2058.2188722111227,2914.0226169756947,2041.1898284051085,2706.163073667053,2394.30283534174,2734.673966307526,2802.0261561198176,2505.2797021156757,3304.9718330389946,3566.0726881974056,3359.8770048198357,4488.458124153594,3373.914702700945,4537.0375284845295,4372.174580983504,4287.190576855628,5352.4724631169765,5175.5540007129775,5717.172941489282,6235.410639841759
11,438.89517,669.7737,859.81354,953.4859,843.45526,877.5446,1339.5555,1719.1179,1908.8127,1686.152,1315.9333,2009.2737,2578.0566,2865.8157,2528.2273,1753.9811,2678.947,3436.5881,3824.621,3369.595,2191.7764,3348.6138,4294.771,4785.211,4210.3257,1746.9994777261227,1778.0948506419272,1400.135513981391,1993.1066843931567,1872.5073178749524,2239.564944885926,3170.8136329500385,2260.8716173738026,2973.242411077011,2635.005079426196,3001.0704762663827,3074.8324155926234,2771.76369030553,3605.3812906650555,3938.299795023616,3683.919135258981,4899.362498275046,3706.08744296701,4947.969453620889,4817.970332385108,4621.245114961653,5876.564417255855,5737.369499316136,6250.5751153691845,6833.479467426471
12,478.80566,730.73346,937.9382,1040.3533,920.06287,957.25275,1461.2854,1875.2816,2082.6848,1839.3088,1435.4028,2191.9148,2812.2117,3127.2004,2757.7273,1913.2047,2922.4558,3748.6594,4173.6914,3675.3845,2390.6824,3653.035,4684.7266,5222.411,4592.2373,1877.6766322310446,1907.3332747945121,1509.7265249426882,2143.3975798728316,2013.4605240109688,2391.032813007168,3374.568357447418,2445.1532099101105,3200.524850310941,2828.920258839039,3217.7740703045747,3297.1787369529343,2994.79129670052,3834.2246264821715,4241.845809822891,3945.8559978816766,5229.2138452042345,3980.8033330029098,5285.8420874665435,5190.479887948952,4899.462514531618,6276.091543922833,6194.614293978275,6688.8569352628865,7305.532314405508
13,518.68915,791.57465,1016.0516,1127.0592,996.75006,1036.9655,1583.0951,2031.473,2256.529,1992.401,1554.8768,2374.5593,3046.4207,3388.5974,2987.2434,2072.4185,3166.0247,4060.7832,4523.044,3981.1086,2589.502,3957.391,5074.6123,5660.063,4974.024,2030.1018192590457,2054.967638894366,1641.0076051492185,2320.6137718671102,2178.5451841790605,2568.3129771238346,3609.5587207733215,2670.58641779005,3471.3174645355834,3061.0705002255722,3471.1446032551116,3558.446252413957,3261.083102761678,4108.534243216169,4603.596635482186,4243.246437915046,5623.28334260224,4307.6232565956,5704.548027660645,5627.181545931355,5190.142995729902,6750.195918825682,6733.815258603617,7215.7631118975105,7860.525588489454
14,558.56396,852.4615,1094.1549,1213.9088,1073.3265,1116.6912,1704.8678,2187.6292,2430.6343,2145.5566,1674.3374,2557.2332,3280.5037,3650.212,3216.6414,2231.5312,3409.4512,4372.7847,4872.5923,4286.7056,2788.3152,4261.8086,5464.5,6098.014,5355.64,2145.5265896565656,2176.9993912207037,1792.2273632333713,2502.7446883757584,2354.5183180706154,2715.852513097487,3802.4990507242537,2928.1400141813547,3745.235082290104,3299.992859289768,3663.9114736260603,3767.566476275496,3616.252095480118,4458.516959363271,4972.694311546554,4453.123281515436,5999.980026494713,4688.342943048112,6175.454569094204,6033.1745154911005,5352.616440065424,7141.7045878446415,7368.224713369885,7713.607590243639,8372.150967961057
15,598.44806,913.3006,1172.2651,1300.6978,1149.9668,1196.3544,1826.6274,2343.8508,2604.631,2298.611,1793.8048,2739.8496,3514.6074,3911.8801,3446.0732,2390.6824,3653.035,4684.7266,5222.411,4592.2373,2987.041,4566.188,5854.291,6536.355,5737.1743,2231.7515742875003,2278.7372236286146,1931.1096528935589,2661.116591815196,2508.23578238139,2838.126528575464,3955.4491323287166,3142.1213902439117,3975.652409374572,3511.557014314608,3810.1683628424976,3928.4074211201764,3949.7380755230693,4798.960404911506,5275.244754897885,4596.233876105117,6325.92574481684,5030.836682742677,6602.034793219411,6371.015753592357,5476.82185498513,7446.908276130499,7934.834915976271,8140.9752295955395,8757.699051999363
16,638.30115,974.2083,1250.4076,1387.4962,1226.5895,1276.0548,1948.3619,2499.906,2778.7588,2451.6792,1913.2047,2922.4558,3748.6594,4173.6914,3675.3845,2549.7607,3896.546,4996.7095,5572.456,4897.683,3185.7195,4870.631,6244.0127,6974.985,6118.5635,2340.5845233805785,2413.136552497797,2102.305263576325,2851.1782224977874,2695.1928504271127,2976.527078675951,4152.0674297036,3378.322260764874,4245.861153387247,3770.211296652476,3990.719822237699,4136.240014267756,4356.083429065197,5199.271164802129,5622.117714420878,4754.17479697953,6721.118606307177,5434.3144376517175,7123.230347938753,6746.131612884815,5639.64311700199,7842.73331559163,8606.518128183283,8668.620280992045,9189.510789619117
17,678.20087,1035.1566,1328.5575,1474.3567,1303.162,1355.7452,2070.143,2656.0605,2952.8926,2604.7368,2032.6116,3105.1853,3982.78,4435.6587,3904.6353,2708.789,4140.0596,5308.588,5922.747,5203.011,3384.3494,5175.0156,6633.6543,7414.074,6499.747,2451.063545086597,2549.653299387468,2268.078997994951,3053.0727339346067,2887.3009804996236,3122.081119069173,4330.550346904038,3616.956055301653,4501.633509167202,4029.1832125480364,4160.252540611785,4375.051501776967,4766.917153222213,5599.121226965228,5979.899471713211,4910.554392847808,7101.113954974177,5838.884590051099,7638.852417439381,7112.7759685810015,5787.137033662939,8212.674242867975,9267.510164566922,9195.290692084027,9624.613244944816
18,718.0637,1095.9791,1406.6027,1561.2222,1379.767,1435.4028,2191.9148,2812.2117,3127.2004,2757.7273,2152.003,3287.8167,4216.831,4697.8486,4133.8877,2867.8176,4383.5703,5620.4214,6273.2686,5508.313,3582.9233,5479.3647,7023.158,7853.5386,6880.842,2544.67625820456,2667.767462289435,2406.324467874908,3229.403626237145,3046.2154307715296,3239.801764825125,4465.692084300953,3817.6185735292047,4711.504601839382,4239.066373402386,4300.179395838474,4580.10233133918,5109.289055870205,5925.862241812943,6283.691015200757,5040.1219505847475,7428.382375070622,6177.344115848518,8052.141190139076,7407.5190979229255,5913.661330645335,8522.112806428444,9797.124678288785,9646.410951034755,9977.969363662109
19,757.9526,1156.9116,1484.8385,1648.0509,1456.4067,1515.0544,2313.6824,2968.3193,3301.4153,2910.7441,2271.3398,3470.3699,4450.814,4960.036,4363.0913,3026.7896,4627.1133,5932.2515,6624.024,5813.4507,3781.4192,5783.7246,7412.6714,8293.276,7261.7905,2653.1697256650673,2808.8787437682404,2570.8281961861817,3443.98990271304,3248.16874970832,3372.2682557638263,4622.624646885779,4075.336392977039,4970.651762978822,4492.733328698395,4466.109562396502,4832.67447210647,5529.242211335994,6308.852897560097,6637.2197656569515,5185.5646050697915,7829.874545060086,6584.881946230978,8534.299724194449,7759.582783777514,6082.410071289824,8888.691492851722,10417.864986732488,10208.791295962701,10422.127557297199
20,797.8157,1217.7448,1562.8843,1734.9711,1532.9397,1594.7413,2435.4502,3124.4727,3475.8108,3063.7527,2390.6824,3653.035,4684.7266,5222.411,4592.2373,3185.7195,4870.631,6244.0127,6974.985,6118.5635,3979.8315,6088.132,7802.1045,8733.533,7642.6104,2767.4061747397363,2952.587660954437,2738.258324970512,3660.342696257533,3450.325558694176,3512.7882588775183,4765.4325196633945,4330.987240536344,5245.225300855449,4739.023543633293,4625.87003258022,5089.4628923972,5942.543014831534,6682.806330621267,6990.916253917548,5314.868197787776,8248.719984876114,6992.4541977882245,9009.313650154185,8104.585005468563,6254.845963438412,9241.367534786707,11052.299694305811,10769.463937047378,10886.141425339098
21,837.67175,1278.6493,1640.9878,1821.8695,1609.5944,1674.3374,2557.2332,3280.5037,3650.212,3216.6414,2510.0007,3835.624,4918.742,5484.98,4821.3276,3344.6262,5114.122,6555.685,7326.268,6423.535,4178.2363,6392.443,8191.5254,9173.979,8023.2935,2859.14414937444,3071.261592575372,2880.5553879358145,3833.068247716751,3620.0314399028757,3622.616672551288,4884.632012388653,4535.604558004605,5476.859648551987,4942.268758117757,4754.9713502517825,5314.812848345754,6299.422850626033,7005.685698412618,7292.735581521346,5401.264375073385,8599.652528381735,7326.95959880947,9400.045736111966,8347.58064430454,6401.23744096791,9534.318364347097,11580.942552886703,11237.604046248996,11293.53049279945
22,877.5446,1339.5555,1719.1179,1908.8127,1686.152,1753.9811,2678.947,3436.5881,3824.621,3369.595,2629.283,4018.2666,5152.678,5747.6226,5050.3447,3503.5051,5357.612,6867.359,7677.7036,6728.43,4376.578,6696.872,8580.838,9614.92,8403.82,2966.1372293836484,3213.7615431698205,3051.9201818891265,4040.062480844273,3827.405527884481,3756.4920769234595,5029.746579473723,4782.103950620974,5763.630938268955,5182.759460616585,4874.5099673267205,5576.414041998954,6727.700275816643,7394.9781645224275,7634.187421629639,5487.824346250072,9012.01958021246,7725.96106887494,9851.629825940094,8645.5481769532,6551.9157412506975,9881.069323502088,12205.769280338223,11820.119338528364,11809.888135880788
23,917.4253,1400.4271,1797.2092,1995.6864,1762.7963,1833.5931,2800.7188,3592.6235,3999.0952,3522.4724,2748.5803,4200.933,5386.555,6010.334,5279.3438,3662.3088,5601.094,7178.978,8029.3706,7033.27,4574.852,7001.1997,8970.028,10056.198,8784.275,3072.121392181198,3352.2020381357283,3219.946291242634,4244.1933463222,4031.6409982943887,3889.996956793279,5182.844911938379,5035.278205349439,6064.725362881254,5422.800998562656,4977.13049707908,5832.601323055507,7155.40580029943,7803.0010300018175,7968.359780981841,5559.774956045261,9420.070289713447,8118.426622554224,10293.574570574303,8954.894936443645,6662.3926053444675,10233.045914872167,12831.654535382788,12390.428346015879,12338.360048826777
24,957.25275,1461.2854,1875.2816,2082.6848,1839.3088,1913.2047,2922.4558,3748.6594,4173.6914,3675.3845,2867.8176,4383.5703,5620.4214,6273.2686,5508.313,3821.1,5844.636,7490.5884,8381.303,7337.9526,4773.0674,7305.559,9359.263,10497.838,9164.501,3162.8845809556474,3471.2883692467376,3354.2896508438057,4412.6179256383575,4198.093946746671,4009.2392594911603,5323.751280046,5249.28110138289,6312.90507450309,5624.1844378358965,5065.829922145007,6050.988232993412,7508.8004959948385,8144.547994250756,8258.465825027459,5618.754668123821,9772.704557322808,8443.617991421163,10668.378841068623,9211.945129677733,6786.598666860913,10550.732198878384,13355.205065739476,12907.33523972274,12787.241358388022
25,997.1059,1522.2083,1953.4116,2169.5898,1915.8662,1992.8121,3044.2166,3904.7273,4348.3228,3828.1968,2987.041,4566.188,5854.291,6536.355,5737.1743,3979.8315,6088.132,7802.1045,8733.533,7642.6104,4971.1973,7609.888,9748.304,10939.814,9544.591,3263.0877344012406,3614.0349790300934,3516.192233770999,4617.017437178275,4392.020012122346,4147.203442476172,5497.004891059508,5504.211068089414,6612.013797998133,5871.027475234326,5210.4500326367015,6330.133393820065,7928.10116477725,8546.07091869402,8616.102656243855,5702.351076945822,10180.700978927882,8831.168915403126,11126.118981848724,9522.485656333853,7012.798257320018,10961.829434706962,13973.684814989454,13554.31083466376,13338.130102113713
26,1036.9655,1583.0951,2031.473,2256.529,1992.401,2072.4185,3166.0247,4060.7832,4523.044,3981.1086,3106.2454,4748.8374,6088.0137,6799.491,5966.007,4138.572,6331.5796,8113.6216,9085.96,7947.122,5169.318,7914.2495,10137.43,11382.135,9924.587,3362.1187820566183,3763.9039981599503,3678.487941724435,4819.499102173729,4591.528542233714,4285.816049382475,5693.382888313203,5759.257228669767,6919.45728664043,6123.151383487618,5376.991833341066,6609.633116927429,8348.811130582208,8934.743643411612,8987.98565617989,5818.204109399209,10567.281480276806,9219.12376440989,11583.220862669466,9846.649862250384,7277.887876534412,11400.535466746587,14589.841151109078,14182.115590184087,13915.043347202973
27,1076.8461,1643.9543,2109.5408,2343.529,2069.0251,2152.003,3287.8167,4216.831,4697.8486,4133.8877,3225.4553,4931.476,6321.928,7062.763,6194.8174,4297.2505,6575.039,8425.114,9438.543,8251.647,5367.38,8218.579,10526.393,11824.842,10304.48,3426.2221458047457,3872.088372510094,3816.3039829543127,4979.911573297876,4756.06343713715,4379.717393548181,5845.727207740322,5970.323785394845,7173.408622664948,6321.583797566125,5489.254982865852,6794.315895194278,8675.917761538167,9223.887740821896,9289.521933613054,5901.8438263233475,10834.606452069116,9545.64594503362,11943.42333632353,10131.311009138704,7462.099707266867,11714.843363376664,15050.2657636441,14666.081285919432,14349.262928130234
28,1116.6912,1704.8678,2187.6292,2430.6343,2145.5566,2231.5312,3409.4512,4372.7847,4872.5923,4286.7056,3344.6262,5114.122,6555.685,7326.268,6423.535,4455.862,6818.591,8736.498,9791.377,8556.01,5565.3667,8522.893,10915.322,12268.026,10684.152,3472.820231695273,3976.815744741614,3981.5474134206243,5157.86422159258,4943.795106621678,4473.869130671869,6034.1936680584595,6216.926276046242,7483.764971852273,6546.693393251437,5617.647213295909,6939.294624995423,9033.45156359325,9516.101262232849,9625.404397295968,5972.474996458939,11117.762853193202,9929.831489545073,12341.478490701478,10484.504377080682,7592.510809719466,12003.649712488064,15541.150663737602,15198.9062111517,14805.128729317059
29,1156.5293,1765.7399,2265.7307,2517.6252,2222.0632,2311.133,3531.2498,4528.8228,5047.4634,4439.4883,3463.7976,5296.7515,6789.3887,7589.839,6652.2485,4614.4727,7062.0557,9047.873,10144.497,8860.329,5763.291,8827.249,11304.248,12711.528,11063.76,3508.604847344862,4061.2371330822098,4119.682318420769,5308.300641572702,5109.24851764237,4569.437780255518,6201.407548880803,6424.636751726678,7742.3241953851675,6738.738886802053,5729.698393473062,7064.0414321377775,9337.135377966246,9755.884327571668,9897.35627876329,6048.686888430761,11371.1465715826,10247.668509396006,12677.952446847887,10775.453821330053,7722.19675590609,12222.792131415197,15950.137188241546,15646.570611374193,15187.702329107015
30,1196.3544,1826.6274,2343.8508,2604.631,2298.611,2390.6824,3653.035,4684.7266,5222.411,4592.2373,3582.9233,5479.3647,7023.158,7853.5386,6880.842,4773.0674,7305.559,9359.263,10497.838,9164.501,5961.1587,9131.609,11693.064,13155.289,11443.154,3550.4401744086317,4160.5320553151305,4284.219916367123,5495.620701105991,5311.753874414274,4680.6972236034935,6414.2981674284065,6694.080046230394,8047.975582874602,6977.954498122131,5855.479905778646,7221.629020709215,9703.811321315836,10049.434485148397,10208.581401370135,6161.898941767412,11700.35736982568,10638.95531920132,13089.466350382396,11125.509815100628,7883.059745819463,12524.360368171414,16440.208272482298,16189.723567447436,15648.914615948828
31,1236.2107,1887.514,2421.8738,2691.689,2375.1396,2470.2307,3774.78,4840.7593,5397.4673,4744.969,3702.0005,5661.9834,7256.916,8117.3267,7109.4546,4931.579,7548.9985,9670.459,10851.396,9468.598,6159.0034,9436.008,12081.927,13599.504,11822.481,3595.247205717152,4254.373380762664,4452.83756612843,5690.5728836127455,5510.6847820303565,4779.955617045203,6614.542289835615,6979.246539588165,8371.117422456133,7220.063295896876,5959.494519363526,7387.25166782868,10074.730987606246,10350.89951738236,10524.658492014245,6281.902407967558,12028.897036352895,11036.74576299525,13508.080566937095,11482.332121568143,8062.965302087776,12849.229740446346,16930.3066416711,16741.957702375286,16136.360458521573
32,1276.0548,1948.3619,2499.906,2778.7588,2451.6792,2549.7607,3896.546,4996.7095,5572.456,4897.683,3821.1,5844.636,7490.5884,8381.303,7337.9526,5090.0923,7792.586,9981.821,11205.183,9772.63,6356.7554,9740.305,12470.588,14044.124,12201.628,3634.438747924811,4323.766403325415,4597.047716906883,5852.342339510196,5675.781412348822,4856.249104041996,6794.042588514622,7222.519540758638,8638.730859488154,7421.886146806441,6043.522583192183,7529.414944556788,10392.454753949514,10603.085700030553,10790.016590636656,6376.353697846178,12295.405067838527,11367.274450767534,13857.3706804225,11778.658119203106,8227.444562962022,13152.96090201561,17344.2635854943,17199.661427369054,16541.885674438065
33,1315.9333,2009.2737,2578.0566,2865.8157,2528.2273,2629.283,4018.2666,5152.678,5747.6226,5050.3447,3940.1826,6027.2256,7724.234,8645.425,7566.4834,5248.5273,8036.021,10292.998,11559.225,10076.553,6554.4863,10044.588,12859.257,14488.991,12580.676,3677.4036942142966,4397.034712504374,4773.605336250037,6047.85072578941,5869.444443852019,4953.334151309964,7033.725600901113,7514.421093070836,8952.72665758137,7666.771169120812,6135.13518680612,7695.440967223697,10774.561486267745,10890.763221697065,11114.26368182908,6519.8900699691685,12603.936317147432,11754.929173751389,14282.797013222265,12139.28949312323,8429.484829665847,13503.588170635785,17844.7422831969,17746.307262532744,17029.676288565286
34,1355.7452,2070.143,2656.0605,2952.8926,2604.7368,2708.789,4140.0596,5308.588,5922.747,5203.011,4059.2112,6209.8506,7957.875,8909.662,7794.911,5406.9785,8279.446,10604.184,11913.465,10380.416,6752.117,10348.959,13247.873,14934.3545,12959.561,3724.3619865417695,4475.590307572184,4954.414064563512,6235.772786469215,6058.40876054741,5061.570146547395,7286.7173904285255,7790.220318457772,9261.331017396757,7905.778346649927,6226.402221016352,7865.384335911797,11160.633647599585,11175.630776254216,11438.612954294704,6686.513127714314,12907.578543157886,12143.076573346367,14698.011660196715,12515.829277691228,8624.365303839453,13844.44881260013,18331.527501683908,18289.67402865169,17502.318961581732
35,1395.5713,2131.0298,2734.215,3040.02,2681.2644,2788.3152,4261.8086,5464.5,6098.014,5355.64,4178.2363,6392.443,8191.5254,9173.979,8023.2935,5565.3667,8522.893,10915.322,12268.026,10684.152,6949.717,10653.284,13636.443,15380.092,13338.3125,3766.4019917724045,4543.070682531931,5102.268058591602,6386.050955984032,6220.743432320951,5150.515038465977,7512.3922159424,8013.505382820748,9513.552795266656,8097.123912732761,6309.922127149328,8015.934256877598,11481.279387282613,11415.476958440728,11709.131988058276,6842.286597497324,13155.195487861014,12467.402282363066,15030.588684352266,12835.254518366091,8788.946861354283,14116.93858867141,18724.857557810406,18743.1579525795,17904.25657347109
36,1435.4028,2191.9148,2812.2117,3127.2004,2757.7273,2867.8176,4383.5703,5620.4214,6273.2686,5508.313,4297.2505,6575.039,8425.114,9438.543,8251.647,5723.7007,8766.396,11226.421,12622.78,10987.827,7147.2446,10957.676,14024.96,15826.082,13716.934,3817.5413814651115,4624.331609978019,5280.650844554981,6566.550091214131,6406.67566262108,5248.38206599437,7781.7887854174805,8277.863567290073,9813.539463417519,8323.023806209332,6425.60528281493,8208.890460992052,11865.996683796942,11706.569409260856,12033.39363925043,7047.946280029346,13448.972831436142,12851.60015101807,15431.06612343772,13220.438104140989,8970.201576284515,14420.04408804712,19187.61126337999,19285.621042356546,18409.020173827008
